"steel tariffs","aluminum tariffs"
"8451.29.00",""
"8509.80.20",""
"8516.60.40",""
"9403.99.9020",""
"0402.99.68",""
"8211.91.20",""
"8429.11.00",""
"8504.23.00",""
"0402.99.70",""
"8211.91.25",""
"8429.19.00",""
"8504.33.00",""
"0402.99.90",""
"8211.91.30",""
"8429.20.00",""
"8504.90.9634",""
"2106.90.9998",""
"8211.91.40",""
"8429.30.00",""
"8504.90.9638",""
"2710.19.3050",""
"8211.91.50",""
"8429.40.00",""
"8504.90.9642",""
"2711.12.0020",""
"8211.91.80",""
"8429.51.10",""
"8514.20.40",""
"2804.29.0010",""
"8211.92.20",""
"8429.51.50",""
"8514.20.60",""
"2804.40.0000",""
"8211.92.40",""
"8429.52.10",""
"8516.29.00",""
"2901.22.0000",""
"8211.92.60",""
"8429.52.50",""
"8516.60.60",""
"2903.42.1000",""
"8211.92.90",""
"8429.59.10",""
"8601.10.00",""
"2903.43.10",""
"8211.93.00",""
"8429.59.50",""
"8601.20.00",""
"2903.44.10",""
"8211.94.10",""
"8431.20.00",""
"8602.10.00",""
"2903.45.10",""
"8211.94.50",""
"8431.39.00",""
"8602.90.00",""
"2903.49.00",""
"8211.95.10",""
"8431.41.00",""
"8603.10.00",""
"2903.51.10",""
"8211.95.50",""
"8431.43.40",""
"8603.90.00",""
"2903.59.90",""
"8211.95.90",""
"8431.43.80",""
"8604.00.00",""
"2903.71.0100",""
"8215.10.00",""
"8433.11.00",""
"8605.00.00",""
"3004.90.9244",""
"8215.20.00",""
"8433.20.00",""
"8607.11.00",""
"3208.10.00",""
"8215.91.30",""
"8433.51.00",""
"8607.19.0300",""
"3208.20.00",""
"8215.91.60",""
"8433.59.00",""
"8607.19.06",""
"3208.90.00",""
"8215.91.90",""
"8433.90.10",""
"8607.19.12",""
"3209.10.00",""
"8215.99.01",""
"8433.90.50",""
"8607.19.15",""
"3209.90.00",""
"8215.99.05",""
"8443.16.0000",""
